round,player_hand,dealer_hand,actions,reward
0,"5,9,3,6","6,8,9","1,1",-1
1,"8,5,2,11,7","6,3,5,6","1,1,1",-1
2,"6,4,10","3,10,4","1,0",1
3,"6,11,4","9,7,5",1,0
4,"10,10,11","10,3,10",1,1
5,"3,4","6,3,2,10",0,-1
6,"7,10,7","7,8,2",1,-1
7,"9,10,10","10,10",1,-1
8,"10,2","11,4,2",0,-1
9,"10,10","9,11",0,0
10,"8,4,7","4,10,10",2,1
11,"10,11,6","2,10,2,2,9",2,1
12,"9,11","6,10,10",0,1
13,"4,10,10","5,8,10",1,-1
14,"8,10,10","10,10",1,-1
15,"6,3","7,3,3,10",0,1
16,"7,9,11,8","7,10","1,1",-1
17,"3,10,10","4,7,10",1,-1
18,"8,7,2,11,11,2","9,8","1,1,1,1",1
19,"9,10,6","10,10",1,-1
20,"9,6","10,10",0,-1
21,"9,2","9,10",0,-1
22,"3,3","7,10",0,-1
23,"3,10","10,10",0,-1
24,"11,6,8","5,8,5",2,-1
25,"7,8,10","10,2,5",1,-1
26,"4,8","10,10",0,-1
27,"10,3,6","2,4,8,6","1,0",-1
28,"10,4,6","4,5,10","1,0",1
29,"7,11,7,3,5","7,5,3,10","1,1,1",-1
30,"9,10,10","10,4,8",1,-1
31,"7,10,11,2","4,10,10","1,1,0",1
32,"2,4","6,5,2,10",0,1
33,"11,2,9,11,10","8,5,8","1,1,1",-1
34,"11,2,6","8,10","1,0",1
35,"4,10,5","4,5,10","3,1,0",0
35,"4,9","4,5,10","3,1,0",-1
36,"5,6,10","10,10",1,1
37,"8,4,11,3,10","9,2,9","1,1,1",-1
38,"5,10","11,10",,-1
39,"10,7,10","5,10,3",1,-1
40,"2,10","2,6,9",0,-1
41,"10,5,8","9,10",1,-1
42,"10,5,9","3,10,10",1,-1
43,"6,10,2,9","10,10","3,3,1,1",-1
43,"6,2","10,10","3,3,1,1",-1
43,"6,7","10,10","3,3,1,1",-1
44,"8,10,10","4,9,2,7",1,-1
45,"10,10","8,7,2",0,1
46,"11,3,10,3,8","2,3,8,4","1,1,1",-1
47,"10,9,2","10,5,9",1,1
