round,player_hand,dealer_hand,actions,reward
0,"10,7,10","3,8,10",2,-1
1,"8,7,10","5,10,10",1,-1
2,"10,10,10","11,11,8",2,-1
3,"4,9,10","9,10",1,-1
4,"10,3,11","4,6,4,8",2,1
5,"4,10","3,10,10",0,1
6,"3,4,9","3,10,7",2,-1
7,"9,2,6","10,5,9",2,1
8,"3,10,5,4","10,10","1,1",-1
9,"5,3","5,11,8,2,7",0,1
10,"8,4","2,5,4,7",0,-1
11,"10,7,3","10,5,11,4","1,0",0
12,"4,11,10","9,10",2,-1
13,"2,8,10","11,2,7",2,0
14,"9,10,10","6,6,9",2,-1
15,"10,5,4","10,10",2,-1
16,"10,6","11,10",,-1
17,"9,10,11","6,4,5,7","1,0",1
18,"10,8","2,11,2,7,5",0,1
19,"10,10,5","11,9",2,-1
20,"4,3,5","6,7,5",2,-1
21,"10,11,6,8","3,6,10","1,1",-1
22,"8,2","8,5,3,10",0,1
23,"11,6","2,8,6,4",0,-1
24,"10,7","10,9",0,-1
25,"7,10","9,10",0,-1
26,"7,4,7","7,9,9",2,1
27,"10,4","7,10",0,-1
28,"10,9,6","3,4,10",1,-1
29,"2,9,11,5","10,10","1,1,0",-1
30,"10,3","2,11,10,2,3",0,-1
31,"10,3","10,3,10",0,1
32,"10,2","10,10",0,-1
33,"11,5","10,4,2,3",0,-1
34,"11,3,6","2,6,9",2,1
35,"10,5","10,10",0,-1
36,"10,10,8","6,8,7",2,-1
37,"10,11","5,8,9",0,1
38,"10,5","8,10",0,-1
39,"10,4,7","11,7",2,1
40,"8,10,2","2,3,10,9",2,1
41,"3,2","10,6,10",0,1
42,"3,10,7","6,10,11",2,1
43,"10,10,10","6,10,7",2,-1
44,"10,7,5","2,10,10",2,-1
45,"5,10,3","8,4,11,8","1,0",-1
46,"10,11,2","10,3,8",2,-1
47,"10,7,10","10,3,9",1,-1
48,"10,5,7","4,4,6,3",2,-1
49,"4,8,3","10,10",2,-1
50,"6,2","10,10",0,-1
51,"7,9,7","6,10,2",2,-1
52,"3,4,5","10,10",2,-1
53,"2,8,3","8,10",2,-1
54,"10,10,11","10,10",2,1
55,"11,4,8","9,5,11,9","1,0",1
56,"10,2,9","10,5,3",1,1
57,"7,10,10","4,10,5",1,-1
58,"9,7","7,9,9",0,1
59,"4,10,2","10,6,3",2,-1
60,"6,6,10","6,10,8",1,-1
61,"3,2","11,10",,-1
62,"10,6,10","10,5,5",2,-1
63,"3,2","11,11,4,8,3",0,-1
64,"8,7,8","8,6,2,11",1,-1
65,"6,5,4","2,4,4,7","1,0",-1
66,"10,10,9","10,10",1,-1
67,"8,10","10,6,4",0,-1
68,"11,2,7,8,8","10,6,7","1,1,1",-1
69,"10,8,10","2,10,11,5",2,-1
70,"10,9,10","10,6,2",2,-1
71,"10,8,10","3,3,3,10",1,-1
72,"10,10,6","4,10,2,10",2,-1
73,"2,11","10,11",,-1
74,"10,9,10","7,4,11,10",2,-1
75,"9,2","3,8,4,10",0,1
76,"11,6,10,5","3,7,10","1,1",-1
77,"6,10,9","10,7",1,-1
78,"5,10,2,5","6,3,3,10","1,1",-1
79,"5,7","11,10",,-1
80,"5,9,2,7","10,7","1,1",-1
81,"9,6,5,10","11,2,8","1,1",-1
82,"7,5,6,9","7,2,9","1,1",-1
83,"10,6","11,10",,-1
84,"8,5,10","6,7,3,10",2,-1
85,"8,5,10","6,10,4",1,-1
86,"7,8,3","8,4,9",2,-1
87,"11,10,3,11,2,10","6,10,4","1,1,1,1",-1
88,"8,11","4,7,3,3",0,1
89,"10,2","9,10",0,-1
90,"3,10,9","10,5,10",2,-1
91,"10,10","11,10",,-1
92,"10,6","5,4,9",0,-1
93,"6,10","10,4,5",0,-1
94,"8,11","2,2,7,10",0,-1
95,"8,8,2","9,10",2,-1
96,"2,9","7,10",0,-1
97,"8,9","11,10",,-1
98,"3,6,10","10,6,10",2,1
99,"11,6","3,9,6",0,-1
100,"4,10","5,2,10",0,-1
101,"7,5","8,2,10",0,-1
102,"10,8,10","10,4,2,10",2,-1
103,"8,5","10,11",,-1
104,"10,10,10","10,9",2,-1
105,"10,3","10,11",,-1
106,"10,10,10","10,10",2,-1
107,"6,4,9","6,4,3,10",2,1
108,"2,2","11,10",,-1
109,"5,8,6","10,2,10",2,1
110,"8,10,7","9,4,11,10",2,-1
111,"9,10,5","7,10",2,-1
112,"10,10,10","11,6",2,-1
113,"2,10,10","10,2,10",2,-1
114,"10,3,11","4,4,9",2,-1
115,"5,3,9,6","9,2,10","1,1",-1
116,"3,10,8","7,10",2,1
117,"10,5,10","10,6,4",2,-1
118,"10,7,2","10,10",2,-1
119,"8,11","10,10",0,-1
120,"10,7","5,9,5",0,-1
121,"7,7,3","10,4,6",2,-1
122,"4,10,8","5,10,10",2,-1
123,"10,11,4","10,10",2,-1
124,"7,3,11","7,8,10",2,1
125,"4,2,10,10","7,9,5","1,1",-1
126,"10,10","10,10",0,0
127,"11,10,10","3,3,5,10",2,0
128,"7,10,8","3,6,7,2",2,-1
129,"5,10,10","5,4,4,10",2,-1
130,"8,6,10","8,8,6",1,-1
131,"10,2,3","10,8",2,-1
132,"5,5","10,6,9",0,1
133,"7,11,3","3,2,10,3",2,1
134,"5,2,11","10,8",2,0
135,"4,6,10","10,9",2,1
136,"9,10,4","10,7",2,-1
137,"10,9,4","11,8",2,-1
138,"10,9,10","10,5,10",2,-1
139,"9,6","2,10,4,3",0,-1
140,"5,8,10","9,6,10",1,-1
141,"9,11,11","10,4,7",1,0
142,"10,3","11,8",0,-1
143,"11,10,10","6,5,2,10",1,1
144,"2,10,4","10,4,4",2,-1
145,"2,6","10,6,3",0,-1
146,"2,2","3,10,4",0,-1
147,"10,5","2,2,2,2,7,11,9","3,0",1
147,"10,7","2,2,2,2,7,11,9","3,0",1
148,"11,8","10,10",0,-1
149,"10,2","6,2,10",0,-1
150,"9,7,10","4,4,10",1,-1
151,"5,10,10","5,9,7",1,-1
152,"10,6,9","8,7,7",2,-1
153,"11,10,10","8,3,2,11,6",1,1
154,"8,7,10","9,7,10",1,-1
155,"9,9,9","4,11,9,9",1,-1
156,"5,10","9,2,4,6",0,-1
157,"8,11,10","6,7,10","1,0",1
158,"10,6,3,10","5,5,3,10","1,1",-1
159,"11,11,11","2,4,6,3,10",2,1
160,"11,6,7,10","5,10,3","1,1",-1
161,"10,8,7","11,7",1,-1
162,"10,2,7","4,10,9",2,1
163,"4,6,11","4,10,5",1,1
164,"9,11,10","8,10",2,1
165,"5,5,9,8","10,2,11,10","1,1",-1
166,"9,5,7","10,8",2,1
167,"3,2,10,2,11,9","10,3,10","1,1,1,1",-1
168,"10,10,10","4,2,10,2",2,-1
169,"4,10,5","8,4,10",2,1
170,"7,10,10","6,7,6",2,-1
171,"5,2,10","11,5,9,10",2,1
172,"10,7","2,10,9",0,-1
173,"3,9,3","10,5,9",2,1
174,"10,10,10","6,7,10",2,-1
175,"7,3,10","3,6,3,5",2,1
176,"7,8,11","10,2,3,10","1,0",1
177,"10,10,9","4,4,10",1,-1
178,"10,4,10","7,2,10",1,-1
179,"7,10,3","5,11,5",2,-1
180,"10,10","10,11",,-1
181,"8,6,9","10,10",2,-1
182,"10,10,5","9,9",2,-1
183,"10,10,9","4,10,10",2,-1
184,"4,10,4","9,2,5,10",2,1
185,"10,10,8","2,10,10","3,2",-1
185,"10,5","2,10,10","3,2",1
186,"7,2,10,7","8,9","1,1",-1
187,"6,10,3,11,4","10,7","1,1,1",-1
188,"7,2,5,11,6","10,4,3","1,1,1",1
189,"9,8","5,6,2,10",0,1
190,"8,4,4,6","5,10,8","1,1",-1
191,"8,7,5,3","6,6,3,4","1,1",-1
192,"10,6,3,10","3,10,3,8","1,1",-1
193,"11,6,6","10,10","1,0",-1
194,"10,10,10","6,10,3",1,-1
195,"5,11","10,11",,-1
196,"10,2,10","11,6",1,-1
197,"5,7,11,6,7","9,11","1,1,1",-1
198,"8,3,10","11,11,6",1,1
199,"9,4,10","4,10,7",2,-1
