round,player_hand,dealer_hand,actions,result
0,"10,10","10,10",0,0
1,"10,9,4","6,11",1,-1
2,"3,9,6","11,2,4",2,1
3,"10,2,5","10,5,10",2,0
4,"6,8,3","6,5,7",2,-1
5,"11,7,11,3,2,11,4,2","2,10,10","1,1,1,1,1,1",1
6,"10,9,5","10,5,9",1,-1
7,"11,8,10,3","10,5,10","1,1",-1
8,"3,9,10","10,8","3,2",-1
8,"3,10","10,8","3,2",-1
9,"6,2","11,10",,-1
10,"10,2,6","3,7,3,10","3,2",0
10,"10,10","3,7,3,10","3,2",0
11,"10,8,3","5,2,3,10",1,1
12,"4,10,5","10,9",2,0
13,"8,7,10","4,7,10",1,-1
14,"10,10,8","10,10",1,-1
15,"11,5,9,11,6","5,10,3","1,1,1",-1
16,"4,10,5","10,2,10",2,0
17,"6,11,3,11","2,11,7","1,1",1
18,"4,8,2","10,7",2,-1
19,"2,8,10","4,2,6,9",2,-1
20,"5,4,6","7,11",2,-1
21,"10,6,10","7,6,10",1,-1
22,"2,7,9","3,10,6",2,-1
23,"3,2","10,10",0,-1
24,"4,10,5,4","2,7,8","1,1",-1
25,"11,10","7,10",0,1
26,"9,11,4","5,10,10","1,0",0
27,"10,3,5","10,4,11,8",2,0
28,"10,6,5","3,7,6,7",1,1
29,"3,10","11,10",,-1
30,"4,10,8","3,10,11,9",1,-1
31,"10,9,10","4,7,5,10","3,1",-1
31,"10,9","4,7,5,10","3,1",0
32,"10,8,8","7,2,2,3,2,11",1,-1
33,"10,5,11,10","7,6,6","1,1",-1
34,"10,9,10","7,2,9",1,-1
35,"10,9,10","5,11,8,10",1,-1
36,"11,8,10,10","5,10,8","1,1",-1
37,"10,8,3","8,7,10",1,1
38,"4,3","10,4,3",0,-1
39,"5,11,11","11,5,10,9",2,0
40,"9,4,7","7,5,5",2,1
41,"9,10,6","2,4,7,3,10",1,-1
42,"7,10","9,9",0,-1
43,"4,6,10","7,2,2,7","3,2",1
43,"4,10","7,2,2,7","3,2",-1
44,"3,7,10","4,10,10",2,0
45,"10,5","6,10,7",0,0
46,"6,4","10,11",,-1
47,"11,10,6,11,6","5,5,4,10","1,1,1",-1
48,"6,10,9","5,4,6,11,2",1,-1
49,"2,6","10,11",,-1
50,"10,10,2","5,10,10",1,-1
51,"10,10,6","10,7",1,-1
52,"9,11,6","10,10","1,0",-1
53,"2,6,10","7,3,8",2,0
54,"9,10","10,9",0,0
55,"9,9,10","5,11,5",1,-1
56,"2,9,6","3,6,10",2,-1
57,"10,7,2","10,2,10",2,0
58,"4,5,7","10,10",2,-1
59,"4,6,5","10,2,2,10",2,0
60,"8,2,9","9,5,4",2,1
61,"10,10,10","8,10",1,-1
62,"4,3","8,10",0,-1
63,"4,10,11","10,3,10",2,0
64,"8,7,10","10,5,11,6",2,-1
65,"6,10,3","10,6,7",2,0
66,"8,10,10","4,11,10,8","3,1",-1
66,"8,4","4,11,10,8","3,1",0
67,"10,10,7","8,11",1,-1
68,"10,10,4","6,6,11,11,10",1,-1
69,"3,7,10","11,4,3",2,1
70,"9,10","10,9",0,0
71,"11,10,10","3,7,5,3",1,1
72,"11,10,9,8","10,10","1,1",-1
73,"10,9,10","10,2,8",1,-1
74,"7,11,2","10,8",2,1
75,"5,7,7","2,10,3,3",2,1
76,"10,10,9","10,10",1,-1
77,"9,4,10","7,10",2,-1
78,"5,10,6","10,6,11",2,1
79,"8,7,7","2,11,7",1,-1
80,"10,9,9","10,9",2,-1
81,"4,10,2","10,8",2,-1
82,"7,8,2","10,10",2,-1
83,"11,2,8","11,7",2,1
84,"6,7,9","2,3,2,2,11",2,-1
85,"3,10,3","2,10,2,10",2,0
86,"5,8,3","5,5,6,2",2,-1
87,"10,6,8","3,4,6,5",1,-1
88,"10,5,10","10,7",2,-1
89,"3,6,4","10,7",2,-1
90,"10,5,9","3,5,5,3,3","3,1",-1
90,"10,2","3,5,5,3,3","3,1",-1
91,"11,5,3","10,8","3,2",1
91,"11,6","10,8","3,2",-1
92,"10,8,3","3,10,10",1,1
93,"8,9,10","10,10",2,-1
94,"5,10,7","11,7",2,-1
95,"10,7,5","3,10,8","3,1",-1
95,"10,10","3,10,8","3,1",-1
96,"11,10","3,2,10,9",0,1
97,"10,10,10","10,7",1,-1
98,"10,11","10,10",0,1
99,"7,5,7","4,7,10",2,-1
100,"4,3,2","10,2,4,10",2,0
101,"10,5,8","4,10,10",1,-1
102,"9,10,10","10,9","3,1",-1
102,"9,10","10,9","3,1",0
103,"8,6,10","10,10",2,-1
104,"2,6,6","10,9",2,-1
105,"10,4,6","9,11","3,2",0
105,"10,10","9,11","3,2",0
106,"10,7,3","10,4,10",2,0
107,"2,6,2","10,10",2,-1
108,"5,4,8","6,10,10",2,0
109,"8,7,9","10,10",2,-1
110,"6,11,10","10,2,5",2,0
111,"4,9,6","9,11",2,-1
112,"8,10,9","9,2,5,10",1,-1
113,"11,5,6","10,10",2,-1
114,"11,3,10","7,10",2,-1
115,"4,3","10,11",,-1
116,"5,10,11","9,5,3",2,-1
117,"10,2,10","7,10",2,-1
118,"11,5,9,6","4,11,5","1,1",1
119,"2,10,3","10,8",2,-1
120,"9,4,3","6,6,5",2,-1
121,"10,5,2,4","5,10,10","3,1,1",1
121,"10,10","5,10,10","3,1,1",0
122,"11,10","3,4,9,8",0,1
123,"9,2,4","11,5,9,7",2,0
124,"9,8,8","10,4,9",2,-1
125,"10,10,10","10,8",1,-1
126,"2,10,10","2,10,4,7",2,-1
127,"10,10,8","10,2,6",1,-1
128,"7,10,3,6","5,5,2,2,5","1,1",-1
129,"11,3,8","10,3,10","3,2",0
129,"11,10","10,3,10","3,2",1
130,"10,10,9","8,6,8",1,-1
131,"10,11","2,7,7,8",3,1
131,"10,10","2,7,7,8",3,0
132,"7,10,6","10,10",2,-1
133,"6,4,10","3,6,7,10",2,0
134,"7,10,10","9,8",2,-1
135,"6,11,10,2,8","6,11","3,1,1,1",-1
135,"6,10","6,11","3,1,1,1",-1
136,"10,6,10","3,10,10",1,-1
137,"3,10,10","5,5,5,10",2,-1
138,"6,9,10","4,8,2,3",1,-1
139,"5,6,9","4,10,11,6",2,-1
140,"3,4","10,11",,-1
141,"6,8,6","10,7",2,1
142,"11,10,3","8,3,10","1,0",-1
143,"8,10,4","3,8,10",1,-1
144,"11,4,9","10,2,10",2,0
145,"4,10,10","3,6,4,10",1,-1
146,"8,6,8","4,11,10,11,11",1,-1
147,"4,10,10","5,7,10",2,-1
