round,player_hand,dealer_hand,actions,reward
0,"6,5,8","8,10",2,1
1,"8,6","7,10",0,-1
2,"10,3,5","10,2,6",2,0
3,"8,7,9","10,7",2,-1
4,"10,9","2,10,2,5",0,0
5,"2,10","3,10,11,10",0,1
6,"10,4,9","2,5,4,10",1,-1
7,"10,5,8","10,4,10",2,-1
8,"2,10,9","10,10",2,1
9,"3,10,9","7,10",2,-1
10,"11,6,10","10,10",2,-1
11,"3,10,7","10,10",2,0
12,"10,4,4","3,6,10","1,0",-1
13,"7,6,10","11,4,8,11,4",2,-1
14,"4,9,5","10,3,10",2,1
15,"10,10,10","11,4,6",1,-1
16,"10,4,10","10,10",2,-1
17,"10,10,8","8,10",1,-1
18,"10,8,7","10,6,2",2,-1
19,"8,10,10","9,10",1,-1
20,"2,9,10","10,2,5",2,1
21,"6,9,9","6,7,7",2,-1
22,"8,9,3","8,11",2,1
23,"5,11,7","4,5,5,10","1,0",1
24,"10,2,9","9,11",2,1
25,"3,11,11","10,9",2,-1
26,"10,8,8","2,8,10","3,1",-1
26,"10,7","2,8,10","3,1",-1
27,"10,7,7","3,3,11",1,-1
28,"4,5,5","9,5,11,3",2,-1
29,"2,6,3","10,10","1,0",-1
30,"3,7","10,11",,-1
31,"9,2,10","4,4,10",2,1
32,"11,9","2,11,10,5",0,1
33,"6,8,10","5,3,7,8",2,-1
34,"2,8","10,11",,-1
35,"6,2","11,10",,-1
36,"9,4,11","10,10",2,-1
37,"5,10,4","7,10",2,1
38,"10,4,10","3,2,6,10",1,-1
39,"10,7,4","10,5,9",2,1
40,"4,3","6,10,7",0,1
41,"10,10,7","10,10",1,-1
42,"9,5,5","6,10,8",2,1
43,"6,2,8","6,11",2,-1
44,"8,5,11","10,10",2,-1
45,"5,10,9","5,3,10",1,-1
46,"9,8,11,11","2,10,10","1,1,0",1
47,"10,8,4","5,10,7",1,-1
48,"8,10","2,10,5",0,1
49,"10,10,5","10,10",1,-1
50,"6,2","11,10",,-1
51,"5,8,8","10,3,2,8","3,2",1
51,"5,6","10,3,2,8","3,2",1
52,"10,3,6","11,5,10,4",2,-1
53,"10,2,7","10,5,3",2,1
54,"7,5,5","10,10",2,-1
55,"2,11,9","9,10",2,-1
56,"5,6,7","10,9",2,-1
57,"6,9,10","3,2,11,2",1,-1
58,"10,2,10","7,10",2,-1
59,"10,9,4","10,8",1,-1
60,"10,8","10,11",,-1
61,"7,4,10","10,5,3",2,1
62,"10,9,7","10,6,10",1,-1
63,"7,10,4","4,4,11","3,3,1",1
63,"7,2","4,4,11","3,3,1",-1
63,"7,4","4,4,11","3,3,1",-1
64,"7,6,4","8,4,4,10",2,1
65,"2,2,5","8,4,10","1,0",1
66,"2,10,10","3,6,11",2,-1
67,"6,7,4","9,11",2,-1
68,"10,4,10","2,11,10,10",1,-1
69,"10,10,11","11,9",1,1
70,"3,4","10,9",0,-1
71,"6,3,11","11,8",2,1
72,"4,10,3","9,10","3,2",-1
72,"4,10","9,10","3,2",-1
73,"11,8","6,6,10",0,1
74,"10,9","4,9,8",0,-1
75,"8,10","2,10,3,4",0,-1
76,"10,8","3,9,3,3",0,0
77,"9,3,3","10,7",2,-1
78,"2,10,10","6,3,2,10",2,-1
79,"7,2,9","5,10,3","3,2",0
79,"7,10","5,10,3","3,2",-1
80,"10,10,7","11,7",1,-1
81,"5,7,6","7,10",2,1
82,"3,5","4,10,11,10",0,1
83,"6,11,2","10,3,11,10",2,1
84,"5,7,2","8,3,10",2,-1
85,"10,4,8","4,4,2,11",1,-1
86,"6,3","7,10",0,-1
87,"2,10,5","10,4,2,4",2,-1
88,"10,2,9","9,10",2,1
89,"9,5,7","4,8,5",1,1
90,"11,9,5","7,3,8","1,0",-1
91,"2,4","8,6,10",0,1
92,"10,11","3,3,7,7",0,1
93,"10,9,5","10,10",1,-1
94,"3,10,5","4,6,10",2,-1
95,"10,5,5","10,5,4",2,1
96,"3,2","4,2,2,5,11,5",0,-1
